visitorid,items
6958,"4001,167126"
37093,"316753,119736,144635"
83600,"144635,41803,374092"
121914,"461180,43830,322620"
150651,22436
152693,"237422,461686,112277"
158701,"340375,357531,92466"
163049,"279457,303828,312728"
219788,"71733,188148,324290"
248679,"119736,389158,181576"
265486,"37254,11670,37029"
316850,"389814,403969,268883"
331270,"130113,461686,416187"
371606,"177615,161623,424421"
381345,"312728,316753,369447"
416496,"37254,389814,161623"
457547,"11670,416017,213834"
475172,"257575,7943,33139"
488858,"339703,344723,312717"
516732,"451388,337512,342816"
518659,"280342,355994,310944"
530559,"450082,213834,316753"
546086,"29196,120098,48030"
548607,"119736,458271,33139"
566009,"442131,71733,257040"
567388,"428257,422671,227318"
579742,"37254,403969,343861"
591869,"213834,417927,177615"
616565,"291877,312728,133907"
652700,"257575,332018,240708"
677299,436549
686854,"248711,101718,408218"
693709,"161623,206930,442131"
811838,"257040,292444,12765"
825321,"312728,198903,105870"
836635,"37254,312728,457970"
837657,"144635,455763,292444"
895999,"213834,273872,256513"
896066,"46232,4887,29940"
899857,"140527,232172,273872"
904351,"281212,416187,422425"
927384,"46232,213834,256146"
952246,"119736,257575,365015"
962631,"133907,309778,372188"
988939,"461180,179601,416017"
1000306,"314789,312728,124193"
1003058,"292444,339917,414221"
1015139,"416017,89775,280342"
1112178,"343861,119736,445105"
1113351,"455763,233439,292444"
1125765,"280328,286731,11670"
1134975,"403969,387377,138661"
1140886,"32581,408218,292444"
1188952,"119736,83569,7943"
1202066,"432171,254432,46156"
1287860,"213834,422425,316753"
1296635,"33139,119736,389814"
1349746,"297884,410587,451388"
1351796,"257575,30336,439194"
1352044,"422425,243566,152644"
1374616,"428257,312728,119736"
1393377,"257575,448453,11670"
